signature,frequency
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.MotionServices.Advantech.MotionController - Axis <NUM>: actual position = <NUM>",1508220
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.MotionServices.Advantech.MotionController - Axis <NUM>: actual position = -<NUM>",168000
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] DEBUG UI.ViewModels.MotionViewModel - Axis X (Index <NUM>): State = <NUM>",112737
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] DEBUG UI.ViewModels.MotionViewModel - Axis Y (Index <NUM>): State = <NUM>",96472
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] DEBUG UI.ViewModels.MotionViewModel - Axis Z (Index <NUM>): State = <NUM>",92807
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.IOCardWatcherService - Stopping IOWatcherService.",7939
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] ERROR Common.Helpers.GlobalErrorHandler - IOKeyNotFound",7799
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.MotionServices.Advantech.MotionController - Axis <NUM>: Servo enabled successfully.",6185
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.AccessControlSyncService - Skipping folder: D:\ASM\Logs\Hardware\<NUM>-<NUM>-<NUM> (LastWrite: <NUM>-<NUM>-<NUM>)",2403
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.AccessControlSyncService - Skipping folder: D:\ASM\Logs\App\<NUM>-<NUM>-<NUM> (LastWrite: <NUM>-<NUM>-<NUM>)",2403
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.MotionServices.Advantech.MotionController - Axis <NUM>: MoveAbs started → <NUM>",2018
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.MotionServices.Advantech.MotionController - Axis <NUM>: velocity move started (dir=+).",1932
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.MotionServices.Advantech.MotionController - Axis <NUM>: MoveRel started → -<NUM>",1844
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.MotionServices.Advantech.MotionController - Axis <NUM>: MoveRel started → <NUM>",1772
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Common.Helpers.JsonConfigurationLoader - IO Configuration loaded successfully.",1544
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Common.Helpers.JsonConfigurationLoader - Loading GlobalConfig.json...",1423
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Common.Helpers.JsonConfigurationLoader - GlobalConfig.json loaded successfully.",1413
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] DEBUG Common.Helpers.JsonConfigurationLoader - Loading system parameters from D:\Apex XHDP\UI\bin\Debug\net8.<NUM>-windows8.<NUM>\Resources\SystemParameter.json",1334
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.MotionServices.Advantech.MotionController - Axis <NUM>: MoveAbsolute started → <NUM>",1224
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.MotionServices.Advantech.MotionController - Axis <NUM>: MoveAbsolute completed successfully → <NUM>",1222
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.IOServices.IOController - Opened device <NUM> (DevNum=<NUM>) on attempt <NUM>.",1157
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.IOServices.IOController - Total opened devices: <NUM>",1120
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.MotionServices.Advantech.MotionController - Axis <NUM>: deceleration stop issued.",1000
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.Helpers.UIJsonConfigurationLoader - Loading navigation buttons...",880
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Common.Helpers.CsvFileHelper - No Record Found",876
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.ViewModels.SplashScreenViewModel - Loading MainWindow.",847
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.ViewModels.SplashScreenViewModel - Loading complete, signaling to launch MainWindow.",847
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] WARN  Common.Helpers.LocalizationService - Missing localization key 'BarcodeScanner' for culture 'en-US'",807
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.ViewModels.ControlBtnViewModel - StateManager initialized with state: Idle",798
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.ViewModels.SplashScreenViewModel - Performing health check...",784
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.MotionServices.Advantech.MotionController - MoveAbsoluteParallel completed for all specified axes.",783
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.ViewModels.SplashScreenViewModel - Health check completed successfully.",775
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.ViewModels.SplashScreenViewModel - Checking status of BarcodeScanner...",713
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.IOServices.IOController - Found <NUM> device(s).",709
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.IOServices.IOController - Primary IO device handle set: <NUM>",704
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] DEBUG Services.Services.Pipelines.XHDP - Shuttle Stopper keeping up",676
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.MotionServices.Advantech.MotionController - Opened device <NUM> (DevNum=<NUM>) on attempt <NUM>.",654
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] WARN  Services.Services.MotionServices.Advantech.MotionController - Invalid axis index <NUM>.",647
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] DEBUG UI.ViewModels.LoginViewModel - RBAC is not enabled.",643
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] ERROR Services.Services.MotionServices.Advantech.MotionController - MoveRel(<NUM>, dist=-<NUM>) start failed. rc=<HEX>",622
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.MotionServices.Advantech.MotionController - Axis <NUM>: MoveAbsolute started → -<NUM>",579
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.MotionServices.Advantech.MotionController - Axis <NUM>: MoveAbsolute completed successfully → -<NUM>",577
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] DEBUG Services.Services.Pipelines.XHDP - Dispenser Pallet Clamp unclamped",573
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.Pipelines.XHDP - Process configuration:",570
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.Pipelines.XHDP - OperationMode: , RunMode: , RunSettingMode:",566
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.ViewModels.SplashScreenViewModel - BarcodeScanner connection successful.",559
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] DEBUG UI.ViewModels.SplashScreenViewModel - Connection status: True",559
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.Pipelines.XHDP - Pallet entered from the Trigger Sensor",546
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.Pipelines.XHDP - Pallet detected. Count = <NUM>",540
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] ERROR Services.Services.MotionServices.Advantech.MotionController - Axis <NUM>: mAcm_AxResetError failed. Error=<HEX>",526
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.Pipelines.XHDP - Pallet is at Barcode",485
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] DEBUG Services.Services.Pipelines.XHDP - L2 Buffer A stopper keeping up",474
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] ERROR Services.Services.MotionServices.Advantech.MotionController - Axis <NUM>: Failed to enable servo. Error=<HEX>",471
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.ViewModels.DashboardViewModel - Loading Dashboard Started...",457
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.ViewModels.MainViewModel - Executing ShowDashboardCommand.",457
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.ViewModels.DashboardViewModel - Loading stage details and dynamic view...",457
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.ViewModels.DashboardViewModel - DashboardViewModel initialized successfully.",457
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.ViewModels.DashboardViewModel - HolderInfoViewModels initialized with <NUM> cavities.",457
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] DEBUG Services.Services.Pipelines.XHDP - L1 Buffer A stopper keeping up",454
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.Helpers.UIJsonConfigurationLoader - Loading log folder configuration...",453
at Services.Services.Pipelines.XHDP.ReadDI(String ioKey) in D:\Apex XHDP\Services\Services\Pipelines\XHDP.cs:line <NUM>,444
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.App - Application initialized",443
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.App - Root directory: D:\ASM",443
at Services.Services.Pipelines.XHDP.DetectRisingEdge(String ioKey) in D:\Apex XHDP\Services\Services\Pipelines\XHDP.cs:line <NUM>,442
at Services.Services.Pipelines.XHDP.WaitForPalletAsync() in D:\Apex XHDP\Services\Services\Pipelines\XHDP.cs:line <NUM>,442
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.App - No pending migrations.",440
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.App - Pending migrations:",440
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.AccessControlSyncService - Cleaning old data for Logs...",438
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.AccessControlSyncService - Current BeforeArchive size: <NUM>.<NUM> MB",438
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.AccessControlSyncService - Syncing Users from D:\Apex XHDP\UI\bin\Debug\net8.<NUM>-windows8.<NUM>\Resources\Users.json",438
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.AccessControlSyncService - Syncing permissions from D:\Apex XHDP\UI\bin\Debug\net8.<NUM>-windows8.<NUM>\Resources\Permissions.json",438
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  UI.App - Application icon set to: pack://application:,,,/Images/ASMLogo.ico",438
"<NUM>-<NUM>-<NUM> <TIME>,<NUM> [<NUM>] INFO  Services.Services.AccessControlSyncService - Syncing roles from D:\Apex XHDP\UI\bin\Debug\net8.<NUM>-windows8.<NUM>\Resources\Roles.json",438
