id,station_name,metric_name,mean,std_dev,min_limit,max_limit,sample_count,unit,created_at,updated_at
1,system,count,123.0,69.137544,4.0,242.0,239,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
2,system,cycle_time,11.001946,0.930743,9.3929,12.6486,233,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
3,system,total_pallets,2341.0,67.405489,2225.0,2457.0,233,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
4,system,total_units,2341.0,67.405489,2225.0,2457.0,233,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
5,system,ok_pallets,2341.0,67.405489,2225.0,2457.0,233,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
6,system,ng_pallets,0.0,0.0,0.0,0.0,233,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
7,system,yield,100.0,0.0,100.0,100.0,233,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
8,system,rolling_uph,208.0,0.0,208.0,208.0,233,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
9,system,total_time,52588.890258,741.530205,51314.1,53865.83,233,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
10,shuttle_station,shuttle_pre_scan_time,1.243903,1.516426,0.01,5.093,237,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
11,shuttle_station,shuttle_scan_success_time,0.000131,0.000338,0.0,0.001,237,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
12,shuttle_station,shuttle_post_scan_delay,0.505409,0.001119,0.503,0.511,237,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
13,shuttle_station,shuttle_carrier_motion_time,2.027064,1.971723,0.0,5.852,236,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
14,shuttle_station,shuttle_stopper_lowering_time,0.086492,0.00694,0.082,0.105,236,seconds,2026-03-02 08:55:58.075608+00:00,2026-03-02 08:55:58.075608+00:00
