"timestamp","value","state_context"
"2026-02-03 18:43:26.657+00","1","CYCLE_COUNT"
"2026-02-03 18:43:37.681+00","2","CYCLE_COUNT"
"2026-02-03 18:43:46.699+00","3","CYCLE_COUNT"
"2026-02-03 18:43:55.215+00","4","CYCLE_COUNT"
"2026-02-03 18:44:03.731+00","5","CYCLE_COUNT"
"2026-02-03 18:44:16.254+00","6","CYCLE_COUNT"
"2026-02-03 18:44:30.782+00","7","CYCLE_COUNT"
"2026-02-03 18:44:40.3+00","8","CYCLE_COUNT"
"2026-02-03 18:44:53.826+00","9","CYCLE_COUNT"
"2026-02-03 18:45:03.344+00","10","CYCLE_COUNT"
"2026-02-03 18:45:11.859+00","11","CYCLE_COUNT"
"2026-02-03 18:45:19.374+00","12","CYCLE_COUNT"
"2026-02-03 18:45:29.394+00","13","CYCLE_COUNT"
"2026-02-03 18:45:37.909+00","14","CYCLE_COUNT"
"2026-02-03 18:45:48.928+00","15","CYCLE_COUNT"
"2026-02-03 18:45:59.447+00","16","CYCLE_COUNT"
"2026-02-03 18:46:08.465+00","17","CYCLE_COUNT"
"2026-02-03 18:46:22.49+00","18","CYCLE_COUNT"
"2026-02-03 18:46:32.006+00","19","CYCLE_COUNT"
"2026-02-03 18:46:42.527+00","20","CYCLE_COUNT"
"2026-02-03 18:46:52.548+00","21","CYCLE_COUNT"
"2026-02-03 18:47:04.066+00","22","CYCLE_COUNT"
"2026-02-03 18:47:16.588+00","23","CYCLE_COUNT"
"2026-02-03 18:47:26.105+00","24","CYCLE_COUNT"
"2026-02-03 18:47:38.126+00","25","CYCLE_COUNT"
"2026-02-03 18:47:49.647+00","26","CYCLE_COUNT"
"2026-02-03 18:47:58.162+00","27","CYCLE_COUNT"
"2026-02-03 18:48:10.184+00","28","CYCLE_COUNT"
"2026-02-03 18:48:22.205+00","29","CYCLE_COUNT"
"2026-02-03 18:48:32.224+00","30","CYCLE_COUNT"
"2026-02-03 18:48:44.251+00","31","CYCLE_COUNT"
"2026-02-03 18:48:53.767+00","32","CYCLE_COUNT"
"2026-02-03 18:49:03.784+00","33","CYCLE_COUNT"
"2026-02-03 18:49:15.804+00","34","CYCLE_COUNT"
"2026-02-03 18:49:26.825+00","35","CYCLE_COUNT"
"2026-02-03 18:49:37.344+00","36","CYCLE_COUNT"
"2026-02-03 18:49:48.865+00","37","CYCLE_COUNT"
"2026-02-03 18:49:58.881+00","38","CYCLE_COUNT"
"2026-02-03 18:50:10.404+00","39","CYCLE_COUNT"
"2026-02-03 18:50:21.426+00","40","CYCLE_COUNT"
"2026-02-03 18:50:32.946+00","41","CYCLE_COUNT"
"2026-02-03 18:50:42.966+00","42","CYCLE_COUNT"
"2026-02-03 18:50:54.988+00","43","CYCLE_COUNT"
"2026-02-03 18:51:05.005+00","44","CYCLE_COUNT"
"2026-02-03 18:51:16.022+00","45","CYCLE_COUNT"
"2026-02-03 18:51:29.047+00","46","CYCLE_COUNT"
"2026-02-03 18:51:38.564+00","47","CYCLE_COUNT"
"2026-02-03 18:51:49.581+00","48","CYCLE_COUNT"
"2026-02-03 18:52:00.102+00","49","CYCLE_COUNT"
"2026-02-03 18:52:11.124+00","50","CYCLE_COUNT"
"2026-02-03 18:52:21.644+00","51","CYCLE_COUNT"
"2026-02-03 18:52:33.164+00","52","CYCLE_COUNT"
"2026-02-03 18:52:44.687+00","53","CYCLE_COUNT"
"2026-02-03 18:52:56.208+00","54","CYCLE_COUNT"
"2026-02-03 18:53:06.726+00","55","CYCLE_COUNT"
"2026-02-03 18:53:18.248+00","56","CYCLE_COUNT"
"2026-02-03 18:53:28.766+00","57","CYCLE_COUNT"
"2026-02-03 18:53:39.285+00","58","CYCLE_COUNT"
"2026-02-03 18:53:50.305+00","59","CYCLE_COUNT"
"2026-02-03 18:53:59.321+00","60","CYCLE_COUNT"
