,system__count,shuttle_pre_scan_time,shuttle_scan_success_time,shuttle_post_scan_delay,shuttle_carrier_motion_time,shuttle_stopper_lowering_time,shuttle_pallet_release_time,shuttle_stopper_rising_time,l1_buffer_a__buffer_holding_time,l1_buffer_a__buffer_stopper_lowering_time,l1_buffer_a__buffer_pallet_release_time,l1_buffer_a__buffer_stopper_rising_time,l1_dispenser__dispenser_entry_unclamp_time,l1_dispenser__dispenser_delay_post_entry_unclamp,l1_dispenser__dispenser_pallet_lifting_1_time,l1_dispenser__dispenser_entry_clamping_time,l1_dispenser__dispenser_delay_post_clamping,l1_dispenser__dispenser_pallet_stopper_releasing_time,l1_dispenser__dispenser_delay_pre_gantry_positioning,l1_dispenser__dispenser_gantry_positioning_time,l1_dispenser__dispenser_dispensing_time,l1_dispenser__dispenser_pallet_unpositioning_time,l1_dispenser__dispenser_pallet_stopper_locking_time,l1_dispenser__dispenser_pre_exit_unclamping,l1_dispenser__dispenser_exit_unclamping,l1_dispenser__dispenser_post_exit_unclamp,l1_dispenser__dispenser_pallet_lowering_1,l1_dispenser__dispenser_stopper_lowering,l1_dispenser__dispenser_pallet_releasing,l1_dispenser__dispenser_stopper_rasing,l1_inspection__inspection_lifter_rising_time,l1_inspection__inspection_gantry_positioning_time,l1_inspection__inspection_core_vision_system_time,l1_inspection__inspection_post_vision_check_delay,l1_inspection__inspection_lifter_lowering_time,l1_inspection__inspection_pallet_releasing_time,timestamp,system__cycle_time,system__total_time,system__rolling_uph,system__ng_pallets,system__yield,system__total_units,system__total_pallets,system__ok_pallets
0,2.0,0.011,1.38,0.514,3.826,0.084,3.927,0.084,0.001,0.102,3.722,0.081,0.0,1.001,0.265,0.33,1.501,0.125,0.001,1.733,10.556,1.711,0.126,1.001,0.166,0.001,0.302,0.125,3.542,0.167,0.0,7.417,6.237,0.0,1.005,7.817,2026-01-24 03:38:08.613,71.8012,10917.42,98.0,0.0,100.0,360.0,360.0,360.0
1,4.0,0.01,0.722,0.514,3.925,0.084,3.922,0.083,0.0,0.103,3.715,0.083,0.001,1.002,0.256,0.332,1.502,0.124,0.0,1.736,10.555,1.712,0.125,1.0,0.185,0.001,0.302,0.125,3.532,0.165,0.0,7.414,6.239,0.0,1.005,7.721,2026-01-24 03:38:50.926,19.8891,10955.79,98.0,0.0,100.0,362.0,362.0,362.0
2,6.0,0.01,1.394,0.515,3.926,0.103,3.925,0.083,0.0,0.102,3.721,0.081,0.001,1.002,0.257,0.331,1.5,0.123,0.002,1.736,10.548,1.709,0.125,1.0,0.187,0.001,0.303,0.125,3.527,0.167,0.0,7.426,6.237,0.0,1.007,7.722,2026-01-24 03:39:47.818,14.6457,11005.04,98.0,0.0,100.0,364.0,364.0,364.0
3,8.0,0.01,0.714,0.514,3.928,0.083,3.923,0.083,0.001,0.103,3.715,0.084,0.0,1.002,0.264,0.331,1.501,0.124,0.001,1.737,10.554,1.711,0.124,1.001,0.188,0.001,0.3,0.125,3.528,0.167,0.0,7.435,6.236,0.0,1.006,7.718,2026-01-24 03:40:33.136,36.9026,11061.94,98.0,0.0,100.0,366.0,366.0,366.0
4,10.0,0.011,0.716,0.513,3.927,0.084,3.926,0.082,0.0,0.104,3.715,0.082,0.0,1.002,0.261,0.334,1.502,0.125,0.001,1.735,10.551,1.712,0.125,1.0,0.188,0.001,0.301,0.125,3.529,0.167,0.0,7.416,6.231,0.0,1.005,7.416,2026-01-24 03:41:26.417,14.1402,11094.68,98.0,0.0,100.0,368.0,368.0,368.0
5,12.0,0.01,0.715,0.513,3.833,0.083,3.927,0.084,0.0,0.107,3.719,0.081,0.0,1.001,0.258,0.335,1.5,0.123,0.001,1.737,10.55,1.711,0.125,1.0,0.187,0.002,0.301,0.127,3.526,0.166,0.0,7.422,6.244,0.0,1.005,7.618,2026-01-24 03:42:16.672,18.9148,11149.87,98.0,0.0,100.0,370.0,370.0,370.0
6,14.0,0.011,1.396,0.512,3.834,0.084,3.928,0.085,0.0,0.105,3.717,0.083,0.0,1.002,0.265,0.332,1.5,0.123,0.002,1.732,10.554,1.71,0.125,1.001,0.186,0.001,0.302,0.123,3.526,0.17,0.0,7.421,6.235,0.0,1.007,7.819,2026-01-24 03:42:53.137,31.5705,11200.32,98.0,0.0,100.0,372.0,372.0,372.0
7,16.0,0.011,0.711,0.513,3.925,0.084,3.934,0.083,0.0,0.104,3.723,0.083,0.0,1.001,0.264,0.332,1.502,0.126,0.0,1.733,10.545,1.711,0.125,1.001,0.189,0.001,0.304,0.126,3.527,0.166,0.0,7.42,6.233,0.0,1.006,7.615,2026-01-24 03:43:44.119,17.4329,11236.58,98.0,0.0,100.0,374.0,374.0,374.0
8,18.0,0.01,0.718,0.512,3.829,0.083,3.93,0.083,0.0,0.106,3.719,0.083,0.0,1.002,0.255,0.331,1.501,0.125,0.001,1.735,10.554,1.71,0.123,1.001,0.189,0.001,0.304,0.123,3.523,0.168,0.0,7.427,6.234,0.0,1.006,7.724,2026-01-24 03:44:37.484,18.2526,11287.67,98.0,0.0,100.0,376.0,376.0,376.0
9,20.0,0.01,1.396,0.514,3.931,0.102,3.927,0.083,0.0,0.104,3.718,0.082,0.0,1.002,0.265,0.334,1.501,0.124,0.001,1.734,10.559,1.715,0.126,1.001,0.187,0.002,0.303,0.126,3.529,0.185,0.0,7.436,6.236,0.0,1.007,7.823,2026-01-24 03:45:27.755,34.9855,11341.19,98.0,0.0,100.0,378.0,378.0,378.0
10,22.0,0.01,0.716,0.516,3.825,0.083,3.925,0.085,0.0,0.105,3.724,0.083,0.001,1.002,0.265,0.33,1.503,0.124,0.002,1.735,10.553,1.712,0.125,1.0,0.171,0.001,0.302,0.124,3.523,0.167,0.0,7.427,6.242,0.0,1.007,7.821,2026-01-24 03:46:04.817,31.662,11391.42,98.0,0.0,100.0,380.0,380.0,380.0
11,24.0,0.011,0.72,0.514,3.827,0.083,3.929,0.083,0.0,0.104,3.723,0.084,0.0,1.001,0.263,0.334,1.501,0.125,0.001,1.738,10.555,1.713,0.126,1.001,0.186,0.0,0.302,0.125,3.523,0.168,0.0,7.423,6.24,0.0,1.005,7.622,2026-01-24 03:46:59.187,16.0434,11428.27,98.0,0.0,100.0,382.0,382.0,382.0
12,26.0,0.011,1.392,0.513,3.929,0.101,3.932,0.083,0.0,0.105,3.718,0.083,0.0,1.002,0.265,0.334,1.501,0.126,0.002,1.735,10.563,1.707,0.126,1.001,0.187,0.001,0.302,0.125,3.524,0.165,0.0,7.429,6.239,0.0,1.008,7.511,2026-01-24 03:47:46.546,22.6523,11482.53,98.0,0.0,100.0,384.0,384.0,384.0
13,28.0,0.011,0.703,0.513,3.927,0.082,3.924,0.084,0.0,0.101,3.723,0.083,0.0,1.001,0.263,0.328,1.502,0.124,0.001,1.73,10.554,1.713,0.127,1.0,0.188,0.001,0.303,0.124,3.524,0.166,0.0,7.435,6.243,0.0,1.006,7.523,2026-01-24 03:48:29.106,28.3979,11529.92,98.0,0.0,100.0,386.0,386.0,386.0
14,30.0,0.011,0.725,0.514,3.927,0.084,3.927,0.084,0.0,0.105,3.72,0.082,0.0,1.002,0.255,0.334,1.501,0.125,0.001,1.736,10.56,1.712,0.127,1.001,0.19,0.001,0.302,0.127,3.523,0.168,0.0,7.421,6.247,0.0,1.005,7.321,2026-01-24 03:49:21.174,18.6761,11572.27,98.0,0.0,100.0,388.0,388.0,388.0
15,32.0,0.011,0.709,0.513,3.928,0.085,3.925,0.083,0.0,0.105,3.717,0.084,0.0,1.003,0.263,0.33,1.501,0.125,0.001,1.74,10.562,1.714,0.125,1.0,0.187,0.0,0.302,0.125,3.525,0.166,0.0,7.419,6.236,0.0,1.008,7.723,2026-01-24 03:50:06.772,26.407,11624.73,98.0,0.0,100.0,390.0,390.0,390.0
16,34.0,0.01,0.716,0.512,3.924,0.103,3.933,0.083,0.0,0.103,3.724,0.084,0.0,1.003,0.262,0.334,1.501,0.124,0.001,1.732,10.558,1.71,0.123,1.001,0.188,0.001,0.301,0.124,3.526,0.167,0.0,7.432,6.241,0.0,1.005,7.619,2026-01-24 03:50:50.979,26.5811,11670.23,98.0,0.0,100.0,392.0,392.0,392.0
17,36.0,0.011,1.389,0.514,3.926,0.083,3.925,0.084,0.0,0.104,3.72,0.083,0.0,1.002,0.262,0.328,1.502,0.108,0.001,1.735,10.558,1.712,0.125,1.0,0.187,0.0,0.302,0.126,3.527,0.168,0.0,7.439,6.237,0.0,1.005,7.62,2026-01-24 03:51:40.534,20.3413,11714.45,98.0,0.0,100.0,394.0,394.0,394.0
18,38.0,0.01,1.398,0.513,3.924,0.083,3.923,0.085,0.0,0.101,3.726,0.083,0.0,1.001,0.264,0.334,1.501,0.126,0.001,1.74,10.552,1.707,0.124,1.001,0.187,0.001,0.301,0.126,3.525,0.165,0.0,7.419,6.236,0.0,1.006,7.521,2026-01-24 03:52:25.989,24.4881,11763.88,98.0,0.0,100.0,396.0,396.0,396.0
19,40.0,0.01,0.721,0.513,3.928,0.104,3.935,0.084,0.0,0.105,3.718,0.083,0.0,1.002,0.264,0.333,1.501,0.126,0.001,1.736,10.556,1.711,0.125,1.0,0.186,0.001,0.302,0.123,3.522,0.165,0.0,7.413,6.233,0.0,1.007,7.619,2026-01-24 03:53:09.907,26.0935,11809.42,98.0,0.0,100.0,398.0,398.0,398.0
20,42.0,0.01,0.713,0.512,3.83,0.085,3.927,0.083,0.0,0.101,3.718,0.083,0.0,1.002,0.263,0.332,1.501,0.124,0.001,1.736,10.555,1.709,0.122,1.0,0.185,0.002,0.303,0.123,3.522,0.168,0.0,7.419,6.24,0.0,1.007,7.52,2026-01-24 03:53:59.763,20.2288,11853.25,98.0,0.0,100.0,400.0,400.0,400.0
21,44.0,0.01,1.389,0.514,3.925,0.103,3.933,0.084,0.0,0.101,3.72,0.083,0.0,1.002,0.262,0.334,1.502,0.124,0.001,1.734,10.545,1.71,0.124,1.0,0.187,0.001,0.301,0.126,3.522,0.166,0.0,7.424,6.235,0.0,1.007,7.821,2026-01-24 03:54:47.528,22.4471,11903.41,98.0,0.0,100.0,402.0,402.0,402.0
