,system__count,shuttle_pre_scan_time,shuttle_scan_success_time,shuttle_post_scan_delay,shuttle_carrier_motion_time,shuttle_stopper_lowering_time,shuttle_pallet_release_time,shuttle_stopper_rising_time,l2_dispenser__dispenser_entry_unclamp_time,l2_dispenser__dispenser_delay_post_entry_unclamp,l2_dispenser__dispenser_pallet_lifting_1_time,l2_dispenser__dispenser_entry_clamping_time,l2_dispenser__dispenser_delay_post_clamping,l2_dispenser__dispenser_pallet_stopper_releasing_time,l2_dispenser__dispenser_delay_pre_gantry_positioning,l2_dispenser__dispenser_gantry_positioning_time,l2_dispenser__dispenser_dispensing_time,l2_dispenser__dispenser_pallet_unpositioning_time,l2_dispenser__dispenser_pallet_stopper_locking_time,l2_dispenser__dispenser_pre_exit_unclamping,l2_dispenser__dispenser_exit_unclamping,l2_dispenser__dispenser_post_exit_unclamp,l2_dispenser__dispenser_pallet_lowering_1,l2_dispenser__dispenser_stopper_lowering,l2_dispenser__dispenser_pallet_releasing,l2_dispenser__dispenser_stopper_rasing,l2_inspection__inspection_lifter_rising_time,l2_inspection__inspection_gantry_positioning_time,l2_inspection__inspection_core_vision_system_time,l2_inspection__inspection_post_vision_check_delay,l2_inspection__inspection_lifter_lowering_time,l2_inspection__inspection_pallet_releasing_time,timestamp,system__cycle_time,system__total_time,system__rolling_uph,system__ng_pallets,system__yield,system__total_units,system__total_pallets,system__ok_pallets
0,1.0,0.012,0.72,0.519,0.001,0.104,3.922,0.082,0.0,0.001,0.233,0.145,0.5,0.124,1.002,1.936,10.553,1.911,0.25,1.0,0.104,0.001,0.402,0.251,3.521,0.104,0.006,2.868,6.229,0.0,1.209,7.722,2026-01-24 03:36:56.812,82.5581,10845.62,98.0,0.0,100.0,359.0,359.0,359.0
1,3.0,0.01,0.731,0.505,0.0,0.083,3.926,0.084,0.0,0.001,0.232,0.146,0.5,0.126,1.001,1.936,10.554,1.911,0.25,1.001,0.104,0.002,0.404,0.25,3.527,0.104,1.935,12.347,6.239,0.0,1.207,7.514,2026-01-24 03:38:27.098,18.4845,10935.9,98.0,0.0,100.0,361.0,361.0,361.0
2,5.0,0.011,1.398,0.512,0.0,0.082,3.926,0.083,0.0,0.001,0.233,0.146,0.5,0.126,1.002,1.933,10.558,1.913,0.256,1.0,0.104,0.001,0.403,0.249,3.525,0.104,0.0,12.3,6.236,0.0,1.11,7.822,2026-01-24 03:39:21.590,34.6028,10990.39,98.0,0.0,100.0,363.0,363.0,363.0
3,7.0,0.011,1.398,0.513,0.0,0.103,3.929,0.082,0.0,0.002,0.23,0.126,0.501,0.123,1.002,1.933,10.558,1.911,0.248,1.001,0.104,0.001,0.401,0.252,3.52,0.103,0.0,12.337,6.228,0.0,1.208,7.824,2026-01-24 03:40:12.180,19.9983,11025.04,98.0,0.0,100.0,365.0,365.0,365.0
4,9.0,0.01,0.714,0.512,0.0,0.083,3.928,0.083,0.0,0.001,0.347,0.146,0.5,0.125,1.002,1.936,10.552,1.915,0.25,1.001,0.104,0.001,0.402,0.246,3.526,0.105,3.368,12.362,6.234,0.0,1.209,7.519,2026-01-24 03:41:05.901,18.5997,11080.54,98.0,0.0,100.0,367.0,367.0,367.0
5,11.0,0.011,0.717,0.515,0.0,0.084,3.927,0.083,0.0,0.002,0.346,0.145,0.5,0.124,1.002,1.937,10.556,1.913,0.249,1.0,0.101,0.001,0.403,0.247,3.523,0.103,0.0,12.335,6.239,0.0,1.11,7.72,2026-01-24 03:41:42.161,36.2849,11130.96,98.0,0.0,100.0,369.0,369.0,369.0
6,13.0,0.011,0.722,0.512,0.0,0.085,3.927,0.082,0.0,0.001,0.343,0.125,0.502,0.124,1.001,1.945,10.557,1.909,0.247,1.002,0.101,0.002,0.403,0.248,3.525,0.105,2.138,12.337,6.24,0.0,1.109,7.821,2026-01-24 03:42:34.193,18.8842,11168.75,98.0,0.0,100.0,371.0,371.0,371.0
7,15.0,0.011,1.395,0.514,0.0,0.083,3.927,0.083,0.0,0.001,0.235,0.145,0.501,0.124,1.002,1.941,10.55,1.916,0.245,1.001,0.103,0.001,0.403,0.25,3.534,0.104,0.0,12.336,6.234,0.0,1.207,7.518,2026-01-24 03:43:24.690,18.8254,11219.15,98.0,0.0,100.0,373.0,373.0,373.0
8,17.0,0.011,1.393,0.513,0.0,0.103,3.927,0.084,0.0,0.001,0.233,0.144,0.501,0.127,1.001,1.935,10.559,1.914,0.249,1.001,0.103,0.001,0.401,0.228,3.524,0.104,0.0,12.307,6.238,0.0,1.108,7.423,2026-01-24 03:44:01.026,32.8363,11269.42,98.0,0.0,100.0,375.0,375.0,375.0
9,19.0,0.01,0.723,0.514,0.0,0.083,3.929,0.083,0.0,0.001,0.229,0.126,0.5,0.126,1.001,1.933,10.56,1.908,0.252,1.002,0.105,0.001,0.402,0.248,3.523,0.105,0.265,12.304,6.236,0.0,1.204,7.512,2026-01-24 03:44:53.749,18.5269,11306.2,98.0,0.0,100.0,377.0,377.0,377.0
